yyyymmdd,jindices,jcount,party_list
19990505,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990506,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990507,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990508,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990509,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990510,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990511,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990512,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990513,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990514,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990515,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990516,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990517,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990518,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990519,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990520,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990521,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990522,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990523,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990524,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990525,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990526,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990527,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990528,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990529,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990530,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990531,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990601,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990602,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990603,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990604,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990605,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990606,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990607,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990608,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990609,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990610,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990611,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990612,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990613,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990614,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990615,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990616,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990617,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990618,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990619,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990620,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990621,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990622,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990623,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990624,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990625,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990626,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990627,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990628,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990629,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990630,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990701,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990702,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990703,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990704,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990705,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990706,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990707,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990708,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
